,Node1,Relation,Node2
110,service level objective,SUBJECT,outsourcing
111,service level objective,SUBJECT,services management and marketing
112,cloud computing,SEE_ALSO,site reliability engineering
113,cloud computing,SUBJECT,cloud computing
114,cloud computing,SUBJECT,cloud infrastructure
115,data center,SEE_ALSO,site reliability engineering
116,data center,SUBJECT,cloud storage
117,data center,SUBJECT,data centers
118,data center,SUBJECT,distributed data storage
119,data center,SUBJECT,applications of distributed computing
120,data center,SUBJECT,computer networking
121,data center,SUBJECT,data management
122,data center,SUBJECT,distributed data storage systems
123,data center,SUBJECT,servers (computing)
124,high availability software,SEE_ALSO,site reliability engineering
125,high availability software,SUBJECT,software
126,infrastructure as code,SEE_ALSO,site reliability engineering
127,infrastructure as code,SUBJECT,configuration management
128,infrastructure as code,SUBJECT,agile software development
129,infrastructure as code,SUBJECT,software development process
130,infrastructure as code,SUBJECT,systems engineering
131,infrastructure as code,SUBJECT,orchestration software
132,"operations, administration and management",SEE_ALSO,site reliability engineering
133,operations management,SEE_ALSO,site reliability engineering
134,operations management,SUBJECT,business terms
135,operations management,SUBJECT,management
136,operations management,SUBJECT,manufacturing
137,operations management,SUBJECT,production economics
138,operations management,SUBJECT,supply chain management terms
139,reliability engineering,SEE_ALSO,site reliability engineering
140,reliability engineering,SUBJECT,design for x
141,reliability engineering,SUBJECT,failure
142,reliability engineering,SUBJECT,reliability engineering
143,reliability engineering,SUBJECT,engineering disciplines
144,reliability engineering,SUBJECT,engineering statistics
145,reliability engineering,SUBJECT,materials science
146,reliability engineering,SUBJECT,software quality
147,reliability engineering,SUBJECT,survival analysis
148,reliability engineering,SUBJECT,systems engineering
149,reliability engineering,SUBJECT,reliability analysis
150,system administration,SEE_ALSO,site reliability engineering
151,system administration,SUBJECT,computer systems
152,system administration,SUBJECT,computer occupations
153,system administration,SUBJECT,system administration
154,kaizen,CLOSELY_RELATED_TO,toyota production system
155,kaizen,SUBJECT,lean manufacturing
156,kaizen,SUBJECT,japanese business terms
157,genchi genbutsu,CLOSELY_RELATED_TO,toyota production system
158,analects of confucius,CLOSELY_RELATED_TO,toyota production system
159,analects of confucius,SUBJECT,1st-millennium bc books
160,analects of confucius,SUBJECT,chinese classic texts
161,analects of confucius,SUBJECT,chinese philosophy
162,analects of confucius,SUBJECT,confucian texts
163,analects of confucius,SUBJECT,philosophy books
164,analects of confucius,SUBJECT,public domain books
165,analects of confucius,SUBJECT,secularism
166,analects of confucius,SUBJECT,zhou dynasty texts
167,andon (manufacturing),CLOSELY_RELATED_TO,toyota production system
168,andon (manufacturing),SUBJECT,lean manufacturing
169,andon (manufacturing),SUBJECT,japanese business terms
170,gemba,CLOSELY_RELATED_TO,toyota production system
171,gemba,SUBJECT,japanese business terms
172,gemba,SUBJECT,management
173,gemba,SUBJECT,manufacturing
174,gemba,SUBJECT,production and manufacturing
175,gemba,SUBJECT,quality
176,genchi genbutsu,CLOSELY_RELATED_TO,toyota production system
177,hansei,CLOSELY_RELATED_TO,toyota production system
178,hansei,SUBJECT,japanese culture
179,hansei,SUBJECT,japanese society
180,hansei,SUBJECT,japanese values
181,hansei,SUBJECT,japanese words and phrases
182,heijunka,CLOSELY_RELATED_TO,toyota production system
183,heijunka,SUBJECT,lean manufacturing
184,heijunka,SUBJECT,commercial item transport and distribution
185,heijunka,SUBJECT,japanese business terms
186,heijunka,SUBJECT,management
187,heijunka,SUBJECT,manufacturing
188,heijunka,SUBJECT,production and manufacturing
189,heijunka,SUBJECT,inventory
190,heijunka,SUBJECT,process management
191,jidoka,CLOSELY_RELATED_TO,toyota production system
192,jidoka,SUBJECT,lean manufacturing
193,just in time (business),CLOSELY_RELATED_TO,toyota production system
194,just in time (business),SUBJECT,lean manufacturing
195,just in time (business),SUBJECT,commercial item transport and distribution
196,just in time (business),SUBJECT,management
197,just in time (business),SUBJECT,manufacturing
198,just in time (business),SUBJECT,production and manufacturing
199,just in time (business),SUBJECT,inventory
200,just in time (business),SUBJECT,process management
201,kaizen,CLOSELY_RELATED_TO,toyota production system
202,kaizen,SUBJECT,lean manufacturing
203,kaizen,SUBJECT,japanese business terms
204,kanban,CLOSELY_RELATED_TO,toyota production system
205,kanban,SUBJECT,lean manufacturing
206,kanban,SUBJECT,business terms
207,kanban,SUBJECT,enterprise resource planning terminology
208,kanban,SUBJECT,japanese business terms
209,kanban,SUBJECT,supply chain management
210,manufacturing supermarket,CLOSELY_RELATED_TO,toyota production system
211,manufacturing supermarket,SUBJECT,lean manufacturing
212,muda (japanese term),CLOSELY_RELATED_TO,toyota production system
213,mura (japanese term),CLOSELY_RELATED_TO,toyota production system
214,muri (japanese term),CLOSELY_RELATED_TO,toyota production system
215,nemawashi,CLOSELY_RELATED_TO,toyota production system
216,nemawashi,SUBJECT,economy of japan
217,nemawashi,SUBJECT,japanese business terms
218,nemawashi,SUBJECT,japanese words and phrases
219,obeya,CLOSELY_RELATED_TO,toyota production system
220,obeya,SUBJECT,toyota
221,obeya,SUBJECT,lean manufacturing
222,obeya,SUBJECT,japanese business terms
223,obeya,SUBJECT,manufacturing
224,obeya,SUBJECT,process management
225,poka-yoke,CLOSELY_RELATED_TO,toyota production system
226,poka-yoke,SUBJECT,lean manufacturing
227,poka-yoke,SUBJECT,japanese business terms
228,seiri,CLOSELY_RELATED_TO,toyota production system
229,seiri,SUBJECT,methodology
230,seiri,SUBJECT,lean manufacturing
231,seiri,SUBJECT,japanese business terms
232,seiton,CLOSELY_RELATED_TO,toyota production system
233,seiton,SUBJECT,methodology
234,seiton,SUBJECT,lean manufacturing
235,seiton,SUBJECT,japanese business terms
236,seiso,CLOSELY_RELATED_TO,toyota production system
237,seiso,SUBJECT,methodology
238,seiso,SUBJECT,lean manufacturing
239,seiso,SUBJECT,japanese business terms
240,seiketsu,CLOSELY_RELATED_TO,toyota production system
241,seiketsu,SUBJECT,methodology
242,seiketsu,SUBJECT,lean manufacturing
243,seiketsu,SUBJECT,japanese business terms
244,shitsuke,CLOSELY_RELATED_TO,toyota production system
245,shitsuke,SUBJECT,methodology
246,shitsuke,SUBJECT,lean manufacturing
247,shitsuke,SUBJECT,japanese business terms
248,lean construction,SEE_ALSO,toyota production system
249,lean construction,SUBJECT,construction terminology
250,lean construction,SUBJECT,lean manufacturing
251,w. edwards deming,SEE_ALSO,toyota production system
252,training within industry,SEE_ALSO,toyota production system
253,production flow analysis,SEE_ALSO,toyota production system
254,production flow analysis,SUBJECT,management
255,window of opportunity,CLOSELY_RELATED_TO,time to market
256,window of opportunity,SUBJECT,intention
257,window of opportunity,SUBJECT,planning
258,window of opportunity,SUBJECT,spaceflight concepts
259,window of opportunity,SUBJECT,broad-concept articles
260,window of opportunity,SUBJECT,business terms
261,window of opportunity,SUBJECT,climatology
262,window of opportunity,SUBJECT,developmental biology
263,window of opportunity,SUBJECT,emergency medicine
264,window of opportunity,SUBJECT,real-time computing
265,window of opportunity,SUBJECT,time
266,window of opportunity,SUBJECT,causes of events
267,product launch,CLOSELY_RELATED_TO,time to market
268,project risk management,CLOSELY_RELATED_TO,time to market
269,project risk management,SUBJECT,project management
270,project risk management,SUBJECT,risk analysis
271,project risk management,SUBJECT,risk management
272,product innovation,CLOSELY_RELATED_TO,time to market
273,product innovation,SUBJECT,business theory
274,new product development,SEE_ALSO,time to market
275,new product development,SUBJECT,innovation
276,new product development,SUBJECT,product development
277,new product development,SUBJECT,industrial design
278,new product development,SUBJECT,systems engineering
279,six sigma,SEE_ALSO,time to market
280,six sigma,SUBJECT,1986 introductions
281,six sigma,SUBJECT,business terms
282,six sigma,SUBJECT,production and manufacturing
283,six sigma,SUBJECT,quality management
284,six sigma,SUBJECT,process management
285,six sigma,SUBJECT,six sigma
286,follow-the-sun,SEE_ALSO,time to market
287,comparison of open-source configuration management software,CLOSELY_RELATED_TO,infrastructure as code
288,comparison of open-source configuration management software,SUBJECT,configuration management
289,comparison of open-source configuration management software,SUBJECT,free software lists and comparisons
290,comparison of open-source configuration management software,SUBJECT,software comparisons
291,configuration management,SEE_ALSO,infrastructure as code
292,configuration management,SUBJECT,configuration management
293,configuration management,SUBJECT,method engineering
294,configuration management,SUBJECT,version control systems
295,configuration management,SUBJECT,computer occupations
296,configuration management,SUBJECT,systems engineering
297,configuration management,SUBJECT,technical communication
298,orchestration (computing),SEE_ALSO,infrastructure as code
299,orchestration (computing),SUBJECT,enterprise application integration
300,orchestration (computing),SUBJECT,business terms
301,orchestration (computing),SUBJECT,computing terminology
302,devops,SEE_ALSO,infrastructure as code
303,devops,SUBJECT,agile software development
304,devops,SUBJECT,information technology management
305,devops,SUBJECT,software development process
306,devops,SUBJECT,development lifecycle
307,value stream,CLOSELY_RELATED_TO,scaled agile framework
308,scrum (software development),SEE_ALSO,scaled agile framework
309,scrum (software development),SUBJECT,agile software development
310,scrum (software development),SUBJECT,management
311,scrum (software development),SUBJECT,production and manufacturing
312,scrum (software development),SUBJECT,project management
313,scrum (software development),SUBJECT,software development process
314,isbn (identifier),CLOSELY_RELATED_TO,disciplined agile delivery
315,computer programming,CLOSELY_RELATED_TO,disciplined agile delivery
316,computer programming,SUBJECT,computer programming
317,computer programming,SUBJECT,computers
318,requirements engineering,CLOSELY_RELATED_TO,disciplined agile delivery
319,requirements engineering,SUBJECT,ieee standards
320,requirements engineering,SUBJECT,iso/iec standards
321,requirements engineering,SUBJECT,systems engineering
322,requirements engineering,SUBJECT,software requirements
323,software deployment,CLOSELY_RELATED_TO,disciplined agile delivery
324,software deployment,SUBJECT,software distribution
325,software deployment,SUBJECT,system administration
326,software deployment,SUBJECT,software release
327,software design,CLOSELY_RELATED_TO,disciplined agile delivery
328,software design,SUBJECT,software design
329,software design,SUBJECT,computer occupations
330,software maintenance,CLOSELY_RELATED_TO,disciplined agile delivery
331,software maintenance,SUBJECT,software maintenance
332,software maintenance,SUBJECT,ieee standards
333,software maintenance,SUBJECT,iso/iec standards
334,software testing,CLOSELY_RELATED_TO,disciplined agile delivery
335,software testing,SUBJECT,computer occupations
336,software testing,SUBJECT,software testing
337,systems analysis,CLOSELY_RELATED_TO,disciplined agile delivery
338,systems analysis,SUBJECT,financial analysts
339,systems analysis,SUBJECT,systems analysis
340,systems analysis,SUBJECT,technology assessment
341,systems analysis,SUBJECT,futurology
342,systems analysis,SUBJECT,management
343,systems analysis,SUBJECT,systems engineering
344,systems analysis,SUBJECT,systems theory
345,formal methods,CLOSELY_RELATED_TO,disciplined agile delivery
346,formal methods,SUBJECT,specification languages
347,formal methods,SUBJECT,formal methods
348,formal methods,SUBJECT,software development philosophies
349,formal methods,SUBJECT,theoretical computer science
350,data modeling,CLOSELY_RELATED_TO,disciplined agile delivery
351,data modeling,SUBJECT,data modeling
352,enterprise architecture,CLOSELY_RELATED_TO,disciplined agile delivery
353,enterprise architecture,SUBJECT,enterprise architecture
354,enterprise architecture,SUBJECT,design
355,enterprise architecture,SUBJECT,human resource management
356,enterprise architecture,SUBJECT,information science
357,functional specification,CLOSELY_RELATED_TO,disciplined agile delivery
358,functional specification,SUBJECT,software design
359,functional specification,SUBJECT,software documentation
360,functional specification,SUBJECT,systems engineering
361,modeling language,CLOSELY_RELATED_TO,disciplined agile delivery
362,modeling language,SUBJECT,specification languages
363,modeling language,SUBJECT,scientific modeling
364,modeling language,SUBJECT,specific models
365,programming paradigm,CLOSELY_RELATED_TO,disciplined agile delivery
366,programming paradigm,SUBJECT,programming language classification
367,programming paradigm,SUBJECT,programming language topics
368,programming paradigm,SUBJECT,programming paradigms
369,software,CLOSELY_RELATED_TO,disciplined agile delivery
370,software,SUBJECT,computer science
371,software,SUBJECT,computing
372,software,SUBJECT,software
373,software archaeology,CLOSELY_RELATED_TO,disciplined agile delivery
374,software archaeology,SUBJECT,software maintenance
375,software archaeology,SUBJECT,computer jargon
376,software architecture,CLOSELY_RELATED_TO,disciplined agile delivery
377,software architecture,SUBJECT,software architecture
378,software architecture,SUBJECT,software engineering
379,software configuration management,CLOSELY_RELATED_TO,disciplined agile delivery
380,software configuration management,SUBJECT,configuration management
381,software configuration management,SUBJECT,ieee standards
382,software configuration management,SUBJECT,software engineering
383,software development process,CLOSELY_RELATED_TO,disciplined agile delivery
384,software development process,SUBJECT,methodology
385,software development process,SUBJECT,formal methods
386,software development process,SUBJECT,software development process
387,software development process,SUBJECT,software engineering
388,software quality,CLOSELY_RELATED_TO,disciplined agile delivery
389,software quality,SUBJECT,systems thinking
390,software quality,SUBJECT,software quality
391,software quality,SUBJECT,software testing
392,software quality,SUBJECT,source code
393,software quality assurance,CLOSELY_RELATED_TO,disciplined agile delivery
394,software quality assurance,SUBJECT,quality assurance
395,software quality assurance,SUBJECT,ieee standards
396,software quality assurance,SUBJECT,quality
397,software quality assurance,SUBJECT,software quality
398,software verification and validation,CLOSELY_RELATED_TO,disciplined agile delivery
399,software verification and validation,SUBJECT,formal methods
400,software verification and validation,SUBJECT,software quality
401,software verification and validation,SUBJECT,software testing
402,structured analysis,CLOSELY_RELATED_TO,disciplined agile delivery
403,structured analysis,SUBJECT,software design
404,structured analysis,SUBJECT,edsger w. dijkstra
405,essential systems analysis,CLOSELY_RELATED_TO,disciplined agile delivery
406,agile software development,CLOSELY_RELATED_TO,disciplined agile delivery
407,agile software development,SUBJECT,software project management
408,agile software development,SUBJECT,agile software development
409,agile software development,SUBJECT,software development philosophies
410,aspect-oriented software development,CLOSELY_RELATED_TO,disciplined agile delivery
411,aspect-oriented software development,SUBJECT,aspect-oriented software development
412,object-oriented programming,CLOSELY_RELATED_TO,disciplined agile delivery
413,object-oriented programming,SUBJECT,norwegian inventions
414,object-oriented programming,SUBJECT,object-oriented programming
415,object-oriented programming,SUBJECT,programming paradigms
416,ontology (information science),CLOSELY_RELATED_TO,disciplined agile delivery
417,ontology (information science),SUBJECT,knowledge engineering
418,ontology (information science),SUBJECT,information science
419,ontology (information science),SUBJECT,knowledge bases
420,ontology (information science),SUBJECT,knowledge representation
421,ontology (information science),SUBJECT,ontology (information science)
422,ontology (information science),SUBJECT,semantic web
423,ontology (information science),SUBJECT,technical communication
424,service-oriented architecture,CLOSELY_RELATED_TO,disciplined agile delivery
425,service-oriented architecture,SUBJECT,enterprise application integration
426,service-oriented architecture,SUBJECT,web services
427,service-oriented architecture,SUBJECT,service-oriented (business computing)
428,service-oriented architecture,SUBJECT,architectural pattern (computer science)
429,service-oriented architecture,SUBJECT,software design patterns
430,systems development life cycle,CLOSELY_RELATED_TO,disciplined agile delivery
431,systems development life cycle,SUBJECT,computing terminology
432,systems development life cycle,SUBJECT,software development process
433,systems development life cycle,SUBJECT,software engineering
434,systems development life cycle,SUBJECT,systems engineering
435,agile software development,CLOSELY_RELATED_TO,disciplined agile delivery
436,agile software development,SUBJECT,software project management
437,agile software development,SUBJECT,agile software development
438,agile software development,SUBJECT,software development philosophies
439,enterprise unified process,CLOSELY_RELATED_TO,disciplined agile delivery
440,executable uml,CLOSELY_RELATED_TO,disciplined agile delivery
441,incremental build model,CLOSELY_RELATED_TO,disciplined agile delivery
442,incremental build model,SUBJECT,software development process
443,iterative and incremental development,CLOSELY_RELATED_TO,disciplined agile delivery
444,iterative and incremental development,SUBJECT,software project management
445,iterative and incremental development,SUBJECT,management
446,iterative and incremental development,SUBJECT,project management
447,iterative and incremental development,SUBJECT,software development philosophies
448,software prototyping,CLOSELY_RELATED_TO,disciplined agile delivery
449,software prototyping,SUBJECT,software development
450,rapid application development,CLOSELY_RELATED_TO,disciplined agile delivery
451,rapid application development,SUBJECT,software project management
452,rapid application development,SUBJECT,computer programming tools
453,rapid application development,SUBJECT,software development process
454,unified process,CLOSELY_RELATED_TO,disciplined agile delivery
455,unified process,SUBJECT,software development process
456,scrum (software development),CLOSELY_RELATED_TO,disciplined agile delivery
457,scrum (software development),SUBJECT,agile software development
458,scrum (software development),SUBJECT,management
459,scrum (software development),SUBJECT,production and manufacturing
460,scrum (software development),SUBJECT,project management
461,scrum (software development),SUBJECT,software development process
462,spiral model,CLOSELY_RELATED_TO,disciplined agile delivery
463,spiral model,SUBJECT,software development process
464,v-model (software development),CLOSELY_RELATED_TO,disciplined agile delivery
465,waterfall model,CLOSELY_RELATED_TO,disciplined agile delivery
466,waterfall model,SUBJECT,design
467,waterfall model,SUBJECT,project management
468,waterfall model,SUBJECT,software development philosophies
469,extreme programming,CLOSELY_RELATED_TO,disciplined agile delivery
470,extreme programming,SUBJECT,agile software development
471,extreme programming,SUBJECT,extreme programming
472,extreme programming,SUBJECT,software development philosophies
473,iso/iec 15504,CLOSELY_RELATED_TO,disciplined agile delivery
474,capability maturity model integration,CLOSELY_RELATED_TO,disciplined agile delivery
475,capability maturity model integration,SUBJECT,carnegie mellon university software
476,capability maturity model integration,SUBJECT,maturity models
477,capability maturity model integration,SUBJECT,software development process
478,capability maturity model integration,SUBJECT,standards
479,data model,CLOSELY_RELATED_TO,disciplined agile delivery
480,data model,SUBJECT,data modeling
481,entity–relationship model,CLOSELY_RELATED_TO,disciplined agile delivery
482,entity–relationship model,SUBJECT,data modeling diagrams
483,entity–relationship model,SUBJECT,data modeling languages
484,entity–relationship model,SUBJECT,entity–relationship model
485,function model,CLOSELY_RELATED_TO,disciplined agile delivery
486,function model,SUBJECT,software design
487,function model,SUBJECT,systems analysis
488,function model,SUBJECT,software architecture
489,function model,SUBJECT,systems engineering
490,information model,CLOSELY_RELATED_TO,disciplined agile delivery
491,information model,SUBJECT,data modeling
492,information model,SUBJECT,information technology management
493,metamodeling,CLOSELY_RELATED_TO,disciplined agile delivery
494,metamodeling,SUBJECT,software design
495,metamodeling,SUBJECT,scientific modeling
496,object model,CLOSELY_RELATED_TO,disciplined agile delivery
497,object model,SUBJECT,object-oriented programming
498,systems modeling,CLOSELY_RELATED_TO,disciplined agile delivery
499,systems modeling,SUBJECT,enterprise modelling
500,systems modeling,SUBJECT,scientific modeling
501,systems modeling,SUBJECT,software engineering
502,systems modeling,SUBJECT,systems science
503,systems modeling,SUBJECT,cognitive modeling
504,view model,CLOSELY_RELATED_TO,disciplined agile delivery
505,view model,SUBJECT,enterprise architecture
506,view model,SUBJECT,software engineering
507,view model,SUBJECT,systems engineering
508,idef,CLOSELY_RELATED_TO,disciplined agile delivery
509,unified modeling language,CLOSELY_RELATED_TO,disciplined agile delivery
510,unified modeling language,SUBJECT,architecture description language
511,unified modeling language,SUBJECT,data modeling diagrams
512,unified modeling language,SUBJECT,data modeling languages
513,unified modeling language,SUBJECT,specification languages
514,unified modeling language,SUBJECT,diagrams
515,unified modeling language,SUBJECT,iso standards
516,unified modeling language,SUBJECT,knowledge representation
517,unified modeling language,SUBJECT,software modeling language
518,unified modeling language,SUBJECT,unified modeling language
519,universal systems language,CLOSELY_RELATED_TO,disciplined agile delivery
520,systems modeling language,CLOSELY_RELATED_TO,disciplined agile delivery
521,victor basili,CLOSELY_RELATED_TO,disciplined agile delivery
522,kent beck,CLOSELY_RELATED_TO,disciplined agile delivery
523,grady booch,CLOSELY_RELATED_TO,disciplined agile delivery
524,fred brooks,CLOSELY_RELATED_TO,disciplined agile delivery
525,barry boehm,CLOSELY_RELATED_TO,disciplined agile delivery
526,peter chen,CLOSELY_RELATED_TO,disciplined agile delivery
527,danese cooper,CLOSELY_RELATED_TO,disciplined agile delivery
528,ward cunningham,CLOSELY_RELATED_TO,disciplined agile delivery
529,ward cunningham,SUBJECT,"people from beaverton, oregon"
530,ward cunningham,SUBJECT,"people from highland, lake county, indiana"
531,ward cunningham,SUBJECT,wikimedia foundation advisory board members
532,ward cunningham,SUBJECT,1949 births
533,ward cunningham,SUBJECT,21st-century american writers
534,ward cunningham,SUBJECT,amateur radio people
535,ward cunningham,SUBJECT,american computer programmers
536,ward cunningham,SUBJECT,american non-fiction writers
537,ward cunningham,SUBJECT,american technology writers
538,ward cunningham,SUBJECT,articles containing video clips
539,ward cunningham,SUBJECT,extreme programming
540,ward cunningham,SUBJECT,living people
541,ward cunningham,SUBJECT,microsoft employees
542,ward cunningham,SUBJECT,purdue university alumni
543,ward cunningham,SUBJECT,technology evangelists
544,ward cunningham,SUBJECT,tektronix people
545,ward cunningham,SUBJECT,"writers from portland, oregon"
546,tom demarco,CLOSELY_RELATED_TO,disciplined agile delivery
547,edsger w. dijkstra,CLOSELY_RELATED_TO,disciplined agile delivery
548,edsger w. dijkstra,SUBJECT,1930 births
549,edsger w. dijkstra,SUBJECT,2002 deaths
550,edsger w. dijkstra,SUBJECT,burroughs corporation people
551,edsger w. dijkstra,SUBJECT,computer programmers
552,edsger w. dijkstra,SUBJECT,computer science writers
553,edsger w. dijkstra,SUBJECT,deaths from cancer in the netherlands
554,edsger w. dijkstra,SUBJECT,deaths from colorectal cancer
555,edsger w. dijkstra,SUBJECT,dijkstra prize laureates
556,edsger w. dijkstra,SUBJECT,dutch academics
557,edsger w. dijkstra,SUBJECT,dutch computer programmers
558,edsger w. dijkstra,SUBJECT,dutch computer scientists
559,edsger w. dijkstra,SUBJECT,dutch expatriates in the united states
560,edsger w. dijkstra,SUBJECT,dutch mathematicians
561,edsger w. dijkstra,SUBJECT,dutch physicists
562,edsger w. dijkstra,SUBJECT,dutch science writers
563,edsger w. dijkstra,SUBJECT,edsger w. dijkstra
564,edsger w. dijkstra,SUBJECT,eindhoven university of technology faculty
565,edsger w. dijkstra,SUBJECT,fellows of the association for computing machinery
566,edsger w. dijkstra,SUBJECT,fellows of the british computer society
567,edsger w. dijkstra,SUBJECT,formal methods people
568,edsger w. dijkstra,SUBJECT,leiden university alumni
569,edsger w. dijkstra,SUBJECT,members of the royal netherlands academy of arts and sciences
570,edsger w. dijkstra,SUBJECT,people from rotterdam
571,edsger w. dijkstra,SUBJECT,programming language designers
572,edsger w. dijkstra,SUBJECT,programming language researchers
573,edsger w. dijkstra,SUBJECT,researchers in distributed computing
574,edsger w. dijkstra,SUBJECT,software engineering researchers
575,edsger w. dijkstra,SUBJECT,software engineers
576,edsger w. dijkstra,SUBJECT,theoretical computer scientists
577,edsger w. dijkstra,SUBJECT,turing award laureates
578,edsger w. dijkstra,SUBJECT,university of texas at austin faculty
579,delores m. etter,CLOSELY_RELATED_TO,disciplined agile delivery
580,martin fowler (software engineer),CLOSELY_RELATED_TO,disciplined agile delivery
581,adele goldstine,CLOSELY_RELATED_TO,disciplined agile delivery
582,margaret hamilton (scientist),CLOSELY_RELATED_TO,disciplined agile delivery
583,tony hoare,CLOSELY_RELATED_TO,disciplined agile delivery
584,lois haibt,CLOSELY_RELATED_TO,disciplined agile delivery
585,mary jean harrold,CLOSELY_RELATED_TO,disciplined agile delivery
586,grace hopper,CLOSELY_RELATED_TO,disciplined agile delivery
587,grace hopper,SUBJECT,1906 births
588,grace hopper,SUBJECT,1992 deaths
589,grace hopper,SUBJECT,20th-century american engineers
590,grace hopper,SUBJECT,20th-century american mathematicians
591,grace hopper,SUBJECT,20th-century american scientists
592,grace hopper,SUBJECT,20th-century women scientists
593,grace hopper,SUBJECT,american computer programmers
594,grace hopper,SUBJECT,american computer scientists
595,grace hopper,SUBJECT,american military personnel of world war ii
596,grace hopper,SUBJECT,american people of dutch descent
